code	char	left	ink	adv
079D	宮	0	11	12
079E	弓	0	10	11
079F	急	0	11	12
07A0	救	0	11	12
07A2	朽	0	11	12
07A3	求	0	11	12
07A5	泣	0	11	12
07A7	球	0	11	12
07A8	究	0	11	12
07AA	笈	0	11	12
07AB	級	0	11	12
07AC	糾	0	11	12
07AE	旧	0	10	11
07AF	牛	0	11	12
07B0	去	0	11	12
07B1	居	0	11	12
07B2	巨	0	10	11
07B3	拒	0	11	12
07B5	挙	0	11	12
07B8	許	0	11	12
07B9	距	0	11	12
07BA	鋸	0	11	12
07BD	魚	0	11	12
07BF	享	0	11	12
07C0	京	0	11	12
07C1	供	0	11	12
07C2	侠	0	11	12
07C4	兇	0	11	12
07C6	共	0	11	12
07C7	兇	0	11	12
07C8	協	0	11	12
07CB	叫	0	11	12
07CC	喬	0	11	12
07CD	境	0	11	12
07CE	峡	0	11	12
07CF	強	0	11	12
07D0	彊	0	11	12
07D1	怯	0	11	12
07D2	恐	0	11	12
07D4	挟	0	11	12
07D5	教	0	11	12
07D6	橋	0	11	12
07D7	況	0	11	12
07D8	狂	0	11	12
07DA	矯	0	11	12
07DB	胸	0	11	12
07DC	脅	0	11	12
07DD	興	0	11	12
07E0	鏡	0	11	12
07E1	響	0	11	12
07E3	驚	0	11	12
07E4	仰	0	11	12
07E7	暁	0	11	12
07E8	業	0	11	12
07EA	曲	0	10	11
07EB	極	0	11	12
07EC	玉	0	11	12
07ED	桐	0	11	12
07EF	僅	0	11	12
07F0	勤	0	11	12
07F3	錦	0	11	12
07F6	欽	0	11	12
07F7	琴	0	11	12
07F8	禁	0	11	12
07F9	禽	0	11	12
07FA	筋	0	11	12
07FB	緊	0	11	12
0800	謹	0	11	12
0801	近	0	11	12
0802	金	0	11	12
0803	吟	0	11	12
0804	銀	0	11	12
0805	九	0	11	12
0806	倶	0	11	12
0807	句	0	11	12
0808	区	0	11	12
0809	狗	0	11	12
080A	玖	0	11	12
080C	苦	0	11	12
080D	躯	0	11	12
080E	駆	0	11	12
0811	具	0	11	12
0812	愚	0	11	12
0814	喰	0	11	12
0815	空	0	11	12
0818	遇	0	11	12
081A	串	0	11	12
081E	屈	0	11	12
081F	掘	0	11	12
0820	窟	0	11	12
0822	靴	0	11	12
0824	窪	0	11	12
0825	熊	0	11	12
0826	隈	0	11	12
0829	繰	0	11	12
082C	勲	0	11	12
082D	君	0	11	12
082F	訓	0	11	12
0830	群	0	11	12
0831	軍	0	11	12
0832	郡	0	11	12
0836	係	0	11	12
0837	傾	0	11	12
0838	刑	0	11	12
0839	兄	0	11	12
083D	型	0	11	12
083E	契	0	11	12
083F	形	0	11	12
0841	恵	0	11	12
0843	慧	0	11	12
0844	憩	0	11	12
0846	携	0	11	12
0848	景	0	11	12
0849	桂	0	11	12
084C	稽	0	11	12
084D	系	0	11	12
084E	経	0	11	12
084F	継	0	11	12
0850	繋	0	11	12
0855	計	0	11	12
0857	警	0	11	12
0858	軽	0	11	12
085A	鶏	0	11	12
085B	芸	0	11	12
085C	迎	0	11	12
085F	劇	0	11	12
0860	戟	0	11	12
0861	撃	0	11	12
0862	激	0	11	12
0866	欠	0	11	12
0867	決	0	11	12
0868	潔	0	11	12
0869	穴	0	11	12
086A	結	0	11	12
086B	血	0	11	12
086D	月	1	9	10
086E	件	0	11	12
0870	倦	0	11	12
0871	健	0	11	12
0872	兼	0	11	12
0874	剣	0	11	12
0877	堅	0	11	12
0878	嫌	0	11	12
0879	建	0	11	12
087B	懸	0	11	12
087C	拳	0	11	12
087E	検	0	11	12
087F	権	0	11	12
0881	犬	0	11	12
0882	献	0	11	12
0883	研	0	11	12
0886	県	0	11	12
0887	肩	0	11	12
0888	見	0	11	12
088A	賢	0	11	12
088C	遣	0	11	12
088D	鍵	0	11	12
088E	険	0	11	12
088F	顕	0	11	12
0890	験	0	11	12
0892	元	0	11	12
0893	原	0	11	12
0894	厳	0	11	12
0895	幻	0	11	12
0897	減	0	11	12
0898	源	0	11	12
0899	玄	0	11	12
089A	現	0	11	12
089D	言	0	11	12
089F	限	0	11	12
08A1	個	0	11	12
08A2	古	0	11	12
08A3	呼	0	11	12
08A4	固	0	11	12
08A6	孤	0	11	12
08A7	己	0	11	12
08AA	戸	0	11	12
08AB	故	0	11	12
08AC	枯	0	11	12
08AD	湖	0	11	12
08AE	狐	0	11	12
08B1	股	0	11	12
08B4	虎	0	11	12
08B5	誇	0	11	12
08B7	鈷	0	11	12
08B8	雇	0	11	12
08BA	鼓	0	11	12
08BB	五	0	11	12
08BC	互	0	11	12
08BE	午	0	11	12
08C2	後	0	11	12
08C3	御	0	11	12
08C4	悟	0	11	12
08C5	梧	0	11	12
08C6	檎	0	11	12
08C9	語	0	11	12
08CA	誤	0	11	12
08CB	護	0	11	12
08CF	交	0	11	12
08D1	候	0	11	12
08D2	候	0	11	12
08D4	光	0	11	12
08D5	公	0	11	12
08D6	功	0	11	12
08D7	効	0	11	12
08D8	勾	0	11	12
08D9	厚	0	11	12
08DA	□	0	10	11
08DB	向	0	11	12
08DD	喉	0	11	12
08E0	好	0	11	12
08E1	孔	0	11	12
08E2	孝	0	11	12
08E4	工	0	11	12
08E5	巧	0	11	12
08E7	幸	0	11	12
08E8	広	0	11	12
08EA	康	0	11	12
08ED	慌	0	11	12
08EE	抗	0	11	12
08F0	控	0	11	12
08F1	攻	0	11	12
08F4	更	0	11	12
08F8	構	0	11	12
08F9	江	0	11	12
08FA	洪	0	11	12
08FE	甲	1	9	10
08FF	皇	0	11	12
0900	硬	0	11	12
